
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.7
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 400.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, Kocaeli, Turkey
Station Name:, 
User-Defined Maximum Number of Records:, 50
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1148, 0.1569, 1.8183, 7.791, 7.7, 11.1, 0.3, "Kocaeli_ Turkey", 1999, "Arcelik", 7.51, strike slip, 10.56, 13.49, 523.0, 0.0875, 1.8183, RSN1148_KOCAELI_ARE000.AT2, RSN1148_KOCAELI_ARE090.AT2 , RSN1148_KOCAELI_AREDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1148 SRSS pSa (g)
7.5,0.0,0.11609994,0.11609994,0.11609994,0.11609994
8.0,0.0,0.10505596,0.10505596,0.10505596,0.10505596
8.5,0.0,0.09498371,0.09498371,0.09498371,0.09498371
9.0,0.0,0.08520264,0.08520264,0.08520264,0.08520264
9.5,0.0,0.07577996,0.07577996,0.07577996,0.07577996
10.0,0.0,0.06649677,0.06649677,0.06649677,0.06649677
11.0,0.0,0.0516091,0.0516091,0.0516091,0.0516091
12.0,0.0,0.04126283,0.04126283,0.04126283,0.04126283
13.0,0.0,0.0351247,0.0351247,0.0351247,0.0351247
14.0,0.0,0.02976432,0.02976432,0.02976432,0.02976432
15.0,0.0,0.02529527,0.02529527,0.02529527,0.02529527
20.0,0.0,0.01130135,0.01130135,0.01130135,0.01130135

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1148 Horizontal-1 pSa (g),RSN-1148 Horizontal-2 pSa (g),RSN-1148 Vertical pSa (g)
0.01,0.2107084,0.1342583,0.0837
0.02,0.2151426,0.1383761,0.0914
0.022,0.2204921,0.1390362,0.097
0.025,0.2136115,0.138911,0.118
0.029,0.2130481,0.1382324,0.157
0.03,0.2232354,0.1472069,0.171
0.032,0.2281812,0.1603876,0.203
0.035,0.2183765,0.1709398,0.252
0.036,0.2131079,0.1668832,0.291
0.04,0.2323146,0.1401918,0.36
0.042,0.2350495,0.1522845,0.296
0.044,0.2250194,0.1618211,0.283
0.045,0.2202653,0.1591834,0.291
0.046,0.2181592,0.1543296,0.296
0.048,0.2135102,0.1574977,0.321
0.05,0.2152777,0.1573407,0.304
0.055,0.2259156,0.1711013,0.202
0.06,0.2826671,0.1917369,0.182
0.065,0.2910948,0.1892329,0.189
0.067,0.2874652,0.1733654,0.211
0.07,0.2943438,0.1778159,0.202
0.075,0.2663428,0.1889491,0.201
0.08,0.2377398,0.2028233,0.179
0.085,0.2356495,0.1875687,0.167
0.09,0.2468308,0.17514,0.192
0.095,0.2552952,0.2190492,0.153
0.1,0.2618759,0.2453711,0.163
0.11,0.3158202,0.3111272,0.168
0.12,0.3417292,0.3254144,0.163
0.13,0.4314319,0.3264672,0.174
0.133,0.4650024,0.3192179,0.181
0.14,0.4909271,0.3572367,0.169
0.15,0.5846276,0.4208384,0.182
0.16,0.6935309,0.3583397,0.177
0.17,0.7677293,0.3384259,0.192
0.18,0.6383217,0.3200957,0.194
0.19,0.6975244,0.3479035,0.216
0.2,0.6658816,0.3557537,0.21
0.22,0.4403167,0.3430464,0.155
0.24,0.337719,0.3267058,0.136
0.25,0.2991776,0.3421039,0.118
0.26,0.3197385,0.3851909,0.134
0.28,0.3273004,0.3406234,0.132
0.29,0.2770037,0.3136832,0.125
0.3,0.2455658,0.2750598,0.123
0.32,0.2289502,0.2160699,0.115
0.34,0.2015976,0.2402636,0.102
0.35,0.188656,0.2532234,0.115
0.36,0.190595,0.2633516,0.125
0.38,0.20304,0.2638049,0.113
0.4,0.2002142,0.2386598,0.121
0.42,0.1897026,0.2011129,0.119
0.44,0.2352087,0.1743412,0.126
0.45,0.2427375,0.1694273,0.127
0.46,0.2371811,0.16621,0.125
0.48,0.2210305,0.1613685,0.116
0.5,0.2173197,0.1574817,0.117
0.55,0.2246561,0.1562412,0.144
0.6,0.1413563,0.1520733,0.0957
0.65,0.1478682,0.1599995,0.0853
0.667,0.1602227,0.1631786,0.0871
0.7,0.1602415,0.1684418,0.0745
0.75,0.1431216,0.1724254,0.065
0.8,0.1854328,0.1651247,0.0581
0.85,0.1828117,0.172581,0.0628
0.9,0.138299,0.1767163,0.0679
0.95,0.1129779,0.1510221,0.0752
1.0,0.1166304,0.1229349,0.0655
1.1,0.1052397,0.1064937,0.0484
1.2,0.112204,0.1182989,0.0604
1.3,0.09018126,0.1204051,0.0453
1.4,0.07761987,0.1181465,0.04
1.5,0.05757233,0.1126516,0.0404
1.6,0.05249862,0.09877706,0.0389
1.7,0.04629996,0.09948742,0.0427
1.8,0.03701983,0.1031131,0.0461
1.9,0.03665335,0.09215526,0.0425
2.0,0.03910831,0.07438318,0.0388
2.2,0.03473037,0.06451459,0.0345
2.4,0.03121426,0.07234646,0.0281
2.5,0.03387662,0.07540445,0.0264
2.6,0.036089,0.07536007,0.0274
2.8,0.03871174,0.06909277,0.0334
3.0,0.04519725,0.06330369,0.0367
3.2,0.04568447,0.06088109,0.0347
3.4,0.04251995,0.06474444,0.0276
3.5,0.04030491,0.06762343,0.0251
3.6,0.03782365,0.07048101,0.0246
3.8,0.03323152,0.08224291,0.0242
4.0,0.02871569,0.09281252,0.0235
4.2,0.02519426,0.09945931,0.0227
4.4,0.02334317,0.1023461,0.0216
4.6,0.02265562,0.1024466,0.022
4.8,0.02223388,0.1015759,0.0242
5.0,0.02238962,0.09960265,0.0252
5.5,0.02202786,0.09201595,0.0234
6.0,0.02032239,0.08129817,0.0187
6.5,0.01962944,0.07508964,0.0152
7.0,0.02071706,0.06763477,0.0117
7.5,0.02064274,0.06042152,0.00981
8.0,0.01979749,0.05427898,0.00797
8.5,0.01895365,0.04867752,0.00649
9.0,0.01787883,0.04331321,0.00533
9.5,0.01638399,0.03832046,0.00464
10.0,0.01452675,0.03356167,0.00424
11.0,0.01150633,0.02594609,0.00344
12.0,0.00890605,0.02087229,0.00271
13.0,0.00641906,0.01821952,0.00216
14.0,0.00489418,0.01562045,0.00181
15.0,0.00417157,0.01327123,0.00163
20.0,0.00195306,0.00590047,0.000916
