
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.85
Magnitude Max:, 3.99
Rrup Min (km):, 10.0
Rrup Max (km):, 15.0
Rjb Min (km):, 10.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 51203773
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 13683, 0.6678, 2.6001, -, 7.0, 15.0, 0.0, "51203773", 2008, "Lake Herman", 3.96, strike slip, 12.5, 13.43, 652.29, 0.5125, 2.6001, RSN13683_51203773_NCNLHHNN.AT2, RSN13683_51203773_NCNLHHNE.AT2 , RSN13683_51203773_NCNLHHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-13683 SRSS pSa (g)
7.5,0.0,7.65e-05,7.65e-05,7.65e-05,7.65e-05
8.0,0.0,6.696e-05,6.696e-05,6.696e-05,6.696e-05
8.5,0.0,5.912e-05,5.912e-05,5.912e-05,5.912e-05
9.0,0.0,5.259e-05,5.259e-05,5.259e-05,5.259e-05
9.5,0.0,4.709e-05,4.709e-05,4.709e-05,4.709e-05
10.0,0.0,4.241e-05,4.241e-05,4.241e-05,4.241e-05
11.0,0.0,3.494e-05,3.494e-05,3.494e-05,3.494e-05
12.0,0.0,2.93e-05,2.93e-05,2.93e-05,2.93e-05
13.0,0.0,2.493e-05,2.493e-05,2.493e-05,2.493e-05
14.0,0.0,2.147e-05,2.147e-05,2.147e-05,2.147e-05
15.0,0.0,1.869e-05,1.869e-05,1.869e-05,1.869e-05
20.0,0.0,1.049e-05,1.049e-05,1.049e-05,1.049e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-13683 Horizontal-1 pSa (g),RSN-13683 Horizontal-2 pSa (g),RSN-13683 Vertical pSa (g)
0.01,0.00880355,0.00578448,0.00383
0.02,0.00889015,0.00605164,0.0043
0.022,0.00896712,0.00610882,0.00429
0.025,0.00910286,0.00622197,0.00426
0.029,0.00936145,0.00609845,0.00483
0.03,0.00938753,0.00621931,0.00506
0.032,0.00972526,0.00617712,0.00598
0.035,0.01010718,0.00620086,0.00715
0.036,0.01018354,0.00643581,0.00732
0.04,0.01092411,0.00691126,0.00851
0.042,0.01161943,0.00674479,0.0102
0.044,0.01219969,0.00849852,0.0114
0.045,0.01234799,0.00857846,0.0119
0.046,0.01244294,0.00844555,0.0124
0.048,0.01285066,0.00899975,0.0128
0.05,0.01364862,0.01126071,0.0129
0.055,0.013643,0.01259343,0.0117
0.06,0.01576347,0.01576892,0.0124
0.065,0.02323518,0.01842341,0.0125
0.067,0.0265399,0.01765485,0.0123
0.07,0.03011778,0.01937486,0.0118
0.075,0.03410439,0.02176862,0.0117
0.08,0.03477358,0.02488007,0.0148
0.085,0.03014105,0.02450101,0.0135
0.09,0.02522562,0.02322614,0.0105
0.095,0.02160988,0.01964164,0.00887
0.1,0.0182859,0.01494936,0.0081
0.11,0.01342829,0.01001191,0.00692
0.12,0.01109655,0.0097092,0.00639
0.13,0.01098363,0.01123311,0.00586
0.133,0.01113388,0.01109689,0.00574
0.14,0.01164588,0.01054157,0.00523
0.15,0.01214375,0.00908392,0.00501
0.16,0.01304927,0.00909331,0.00508
0.17,0.01319389,0.00827234,0.00443
0.18,0.01633778,0.00672308,0.00411
0.19,0.01818515,0.00683675,0.00456
0.2,0.01588088,0.00763524,0.00548
0.22,0.01324305,0.00730734,0.00622
0.24,0.01337333,0.00582943,0.00561
0.25,0.01221929,0.00541798,0.00515
0.26,0.01093876,0.00600817,0.00451
0.28,0.01005419,0.00751364,0.00482
0.29,0.01047947,0.00781586,0.0057
0.3,0.01068164,0.00755868,0.00583
0.32,0.01431699,0.00861616,0.00536
0.34,0.01689462,0.01052923,0.00447
0.35,0.01760047,0.01074506,0.00438
0.36,0.01802963,0.00976189,0.004
0.38,0.01902616,0.00761481,0.00312
0.4,0.01964608,0.00762996,0.00295
0.42,0.02099846,0.00838844,0.00276
0.44,0.02372264,0.00899997,0.00256
0.45,0.02485747,0.00865698,0.00279
0.46,0.02581787,0.00870501,0.00307
0.48,0.02715043,0.00940243,0.00291
0.5,0.02702826,0.0092151,0.00228
0.55,0.0199495,0.00947352,0.0027
0.6,0.01422746,0.01015758,0.00144
0.65,0.01039647,0.00930594,0.00122
0.667,0.00926356,0.00893653,0.00131
0.7,0.00785242,0.00810963,0.0014
0.75,0.00600159,0.00669773,0.00128
0.8,0.00441205,0.00522718,0.00107
0.85,0.00367332,0.00438554,0.000814
0.9,0.00306979,0.0036317,0.00088
0.95,0.00241386,0.00298937,0.00073
1.0,0.00192794,0.00245356,0.000795
1.1,0.00133221,0.00166048,0.000764
1.2,0.00103275,0.00126262,0.000588
1.3,0.00086837,0.00101957,0.000491
1.4,0.00073057,0.00086976,0.000449
1.5,0.00064937,0.00076024,0.000432
1.6,0.00051543,0.00066253,0.000315
1.7,0.00044385,0.00056962,0.000241
1.8,0.00039487,0.00048961,0.0002
1.9,0.00036104,0.00042141,0.000186
2.0,0.0003309,0.00036254,0.000178
2.2,0.00027807,0.00026534,0.000173
2.4,0.00022649,0.00021005,0.000104
2.5,0.00020532,0.00019255,9.35e-05
2.6,0.00018751,0.00017917,8.07e-05
2.8,0.00015967,0.00015985,6.58e-05
3.0,0.00013976,0.00015494,5.11e-05
3.2,0.00012388,0.0001312,3.84e-05
3.4,0.0001098,0.00011755,3.33e-05
3.5,0.00010342,0.00011088,3.09e-05
3.6,9.753e-05,0.00010448,2.84e-05
3.8,8.721e-05,9.269e-05,2.43e-05
4.0,7.847e-05,8.237e-05,2.12e-05
4.2,7.094e-05,7.348e-05,1.89e-05
4.4,6.437e-05,6.591e-05,1.69e-05
4.6,5.861e-05,5.951e-05,1.54e-05
4.8,5.358e-05,5.407e-05,1.43e-05
5.0,4.918e-05,4.939e-05,1.33e-05
5.5,4.036e-05,3.998e-05,1.1e-05
6.0,3.379e-05,3.286e-05,9.14e-06
6.5,2.873e-05,2.743e-05,7.72e-06
7.0,2.473e-05,2.329e-05,6.64e-06
7.5,2.152e-05,2.007e-05,5.77e-06
8.0,1.889e-05,1.75e-05,5.06e-06
8.5,1.672e-05,1.541e-05,4.47e-06
9.0,1.491e-05,1.367e-05,3.98e-06
9.5,1.338e-05,1.221e-05,3.57e-06
10.0,1.207e-05,1.098e-05,3.22e-06
11.0,9.97e-06,9.02e-06,2.66e-06
12.0,8.37e-06,7.54e-06,2.23e-06
13.0,7.13e-06,6.41e-06,1.9e-06
14.0,6.14e-06,5.52e-06,1.63e-06
15.0,5.35e-06,4.8e-06,1.42e-06
20.0,3.01e-06,2.69e-06,8.0e-07
